name,price
Best and Authentic OLED UHD Smart Glossy LG OLED48C1,"GH₵ 9,999"
"TCL 55"" Uhd Smart HDR LED P735 LED TV","GH₵ 6,499"
Best and Authentic Sleek UHD 86UQ90006LC Screen,"GH₵ 34,799"
"P735 TCL 55"" HDR Smart Slik Tv","GH₵ 6,499"
TCL 32'' LED 32D3200 FHD Satellite Television,"GH₵ 1,849"
Smart Satellite Digital 43LM6370PVA 43”. Best Buy for Less,"GH₵ 4,550"
Very Cool  Price UHD Smart Glossy 82UP8050PVB LG Tv,"GH₵ 28,999"
"P735 55"" HDR Smart LED TCL LED TV","GH₵ 6,499"
Full HD Glossy LED TCL Black Electric 43 Inches Smart S5400A,"GH₵ 3,299"
"Quality Slik Smart Slik 55"" P735 HDR LED TV","GH₵ 6,499"
Best Buy for Less 43LP5000PTA LG FHD Satellite Display Tv,"GH₵ 3,549"
Best but for Less LG FHD Smart Glossy 32LQ630B,"GH₵ 2,799"
Purchase Affordable TCL 65C645 65” Qled Smart Tv(Black).,"GH₵ 9,999"
"TCL 55"" HDR Smart Slik LED TV P735","GH₵ 6,499"
Sharp 43 Android TV,"GH₵ 2,850"
Zealous Sleek New 43P635 UHD Smart Glossy LED Screen,"GH₵ 3,899"
32LM637BPVA LG FHD Satellite Smart Tv Best Buy for Less,"GH₵ 2,499"
Exclusively Unique TCL 50 Smart Android UHD Tv,"GH₵ 4,699"
