Brand,Model,Type,Screen Size,Display Technology,Condition,name,price,Display Resolution,Display Type,Refresh Rate,TV Operation System,Exchange Possible
Samsung,Cu7000,TVs,85 inches,LED,Brand New,Cu7000 Samsung Tv UHD/ Real Majestic Vision,"GH₵ 26,999",,,,,
LG,,TVs,,,Brand New,"LG Digital Satellite LED 43"" TV","GH₵ 3,800",,,,,
TCL,50P635,TVs,50 inches,LED,Brand New,Good Quality Tcl 50 Inch Smart TV,"GH₵ 5,500",2160p (4K),Glossy,,,
Nasco,,TVs,43 inches,LED,Brand New,Available // Nasco 43 Led Tv,"GH₵ 1,699",1080p (FullHD),,,,
Nasco,,TVs,55 inches,,Brand New,Super Cool 55 UHD Smart Tv Nasco,"GH₵ 2,850",,,,,
Nasco,NAS-J43FB,TVs,43 inches,LED,Brand New,Clear_nasco 43inches Digital Satellite TV,"GH₵ 2,399",1080p (FullHD),Matte,120 Hz,Without Smart TV,No
LG,,TVs,50 inches,LED,Brand New,New Technology New Features Lg 2021 50” UHD 4K Smart Led Tv,"GH₵ 3,990",2160p (4K),Glossy,60 Hz,,
Other,Ds2,TVs,32 inches,LED,Brand New,32”Asano Super High Quality Black Smart Android Satellite Tv,"GH₵ 1,449",1080p (FullHD),Glossy,,,
LG,70,TVs,70 inches,LED,Brand New,LG 70inches Smart UHD 4K Satellite Digital Led Tv,"GH₵ 13,499",,,,,
Samsung,SAMSUNG OLED 65S95 (OLED 4K).,TVs,65 inches,OLED,Brand New,Text Us for for Samsung Oled 65S95 (Oled ).,"GH₵ 29,999",2160p (4K),Glossy,,,
Other,,TVs,32 inches,,Brand New,Super Asano 32 Smart Tv,"GH₵ 1,700",,,,,
Asano,32DF1,TVs,32 inches,LED,Brand New,"Asano Android LED 32"" Satellite TV 32DF1","GH₵ 1,089",,,,,
LG,,TVs,,,Brand New,Super Authentic Oled Signature LG,"GH₵ 90,000",,,,,
Other,,TVs,,,Brand New,"Mind-Blowing Bruhm 43inch Tv""","GH₵ 2,699",,,,,
Nasco,B32fb,TVs,32 inches,LED,Brand New,Backlight System(Led) Nasco Digital Satellite TV – 32′′Black,"GH₵ 1,150",1080p (FullHD),,60 Hz,Without Smart TV,
Nasco,Nasco,TVs,32 inches,LED,Brand New,"Full HD Nasco 32 Inch Full HD Digital Satelite LED Tv,Black","GH₵ 1,199",,,,,
Samsung,55Au9000,TVs,55 inches,LED,Brand New,Series 9 UHD Smart Samsung Tv 55”Au9000 Glossy Tv,"GH₵ 8,999",2160p (4K),Glossy,,,
